Sample	Cell_type	Cell_type_wo_blank	Patient_ID_readable	Sex	Sequencing_exp	Raw_expr_path	Bam_path	Merged_bam_output_path	Merged_bam_path_after_liftover_if_required	Merged_bam_path_input_for_bigwig	Bigwig_path	RPKM_path
p024_RNAseq_CCR8_Treg_Green5_S5_R1	Blood CCR8+ Treg	Blood_CCR8_Treg	?	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_CCR8_Treg_Green5_S5_R1.fastq_40471.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_CCR8_Treg_Purple5_S35_R1	Blood CCR8+ Treg	Blood_CCR8_Treg	Blood donor 7	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_CCR8_Treg_Purple5_S35_R1.fastq_1478.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_CCR8_Treg_Red5_S15_R1	Blood CCR8+ Treg	Blood_CCR8_Treg	?	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_CCR8_Treg_Red5_S15_R1.fastq_16028.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_CCR8_Treg_White5_S45_R1	Blood CCR8+ Treg	Blood_CCR8_Treg	Blood donor 8	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_CCR8_Treg_White5_S45_R1.fastq_17412.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_CCR8_Treg_Yellow5_S25_R1	Blood CCR8+ Treg	Blood_CCR8_Treg	Blood donor 6	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_CCRR_Treg_Yellow5_S25_R1.fastq_27588.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_CCR8_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_CCR8_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Tconv_Purple2_S32_R1	Blood naive Tconv	Blood_naive_Tconv	Blood donor 4	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Tconv_Purple2_S32_R1.fastq_23356.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Tconv_White2_S42_R1	Blood naive Tconv	Blood_naive_Tconv	Blood donor 5	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Tconv_White2_S42_R1.fastq_29246.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Tconv_Yellow2_S22_R1	Blood naive Tconv	Blood_naive_Tconv	Blood donor 3	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Tconv_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Tconv_Yellow2_S22_R1.fastq_30374.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Tconv_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Tconv_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Treg_Green1_S1_R1	Blood naive Treg	Blood_naive_Treg	?	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Treg_Green1_S1_R1.fastq_47405.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
p024_RNAseq_Naive_Treg_Purple1_S31_R1	Blood naive Treg	Blood_naive_Treg	Blood donor 4	Female	Old	/yyy/hm_treg_bs_rgnsbg/RNASeq/raw_counts/Delacher-p024_RNAseq_all_Treg_RawCounts.pasted.txt	/yyy/RNA_seq/evalrseq_agnes/p024_RNAseq_Naive_Treg_Purple1_S31_R1.fastq_51334.sorted.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/merged_bam_files/Blood_naive_Treg_merged.bam	/yyy/hm_treg_bs_rgnsbg/RNASeq/normalised_bigwig_tracks/Blood_naive_Treg_norm_track.bw	/yyy/hm_treg_bs_rgnsbg/RNASeq/rpkm/p024_RNAseq_RPKM_all_cells.txt
